('40.071381', '-105.22978')
('40.071380', '-105.22978')
('40.071379', '-105.22978')
('40.071378', '-105.22978')
('40.071377', '-105.22978')
('40.071376', '-105.22978')
('40.071375', '-105.22978')
('40.071374', '-105.22978')
('40.071373', '-105.22978')
('40.071372', '-105.22978')
('40.071371', '-105.22978')
('40.071370', '-105.22978')
('40.071369', '-105.22978')
('40.071368', '-105.22978')
('40.071367', '-105.22978')
('40.071366', '-105.22978')
('40.071365', '-105.22978')
('40.071364', '-105.22978')
('40.071363', '-105.22978')
('40.071362', '-105.22978')
('40.071361', '-105.22978')
('40.071360', '-105.22978')
('40.071359', '-105.22978')
('40.071358', '-105.22978')
('40.071357', '-105.22978')
('40.071356', '-105.22978')
('40.071355', '-105.22978')
('40.071354', '-105.22978')
('40.071353', '-105.22978')
('40.071352', '-105.22978')
('40.071351', '-105.22978')
('40.071350', '-105.22978')
('40.071349', '-105.22978')
('40.071348', '-105.22978')
('40.071347', '-105.22978')
('40.071346', '-105.22978')
('40.071345', '-105.22978')
('40.071344', '-105.22978')
('40.071343', '-105.22978')
('40.071342', '-105.22978')
('40.071341', '-105.22978')
('40.071340', '-105.22978')
('40.071339', '-105.22978')
('40.071338', '-105.22978')
('40.071337', '-105.22978')
('40.071336', '-105.22978')
('40.071335', '-105.22978')
('40.071334', '-105.22978')
('40.071333', '-105.22978')
('40.071332', '-105.22978')
('40.071331', '-105.22978')
('40.071330', '-105.22978')
('40.071329', '-105.22978')
('40.071328', '-105.22978')
('40.071327', '-105.22978')
('40.071326', '-105.22978')
('40.071325', '-105.22978')
('40.071324', '-105.22978')
('40.071323', '-105.22978')
('40.071322', '-105.22978')
('40.071321', '-105.22978')
('40.071320', '-105.22978')
('40.071319', '-105.22978')
('40.071318', '-105.22978')
('40.071317', '-105.22978')
('40.071316', '-105.22978')
('40.071315', '-105.22978')
('40.071314', '-105.22978')
('40.071313', '-105.22978')
('40.071312', '-105.22978')
('40.071311', '-105.22978')
('40.071310', '-105.22978')
('40.071309', '-105.22978')
('40.071308', '-105.22978')
('40.071307', '-105.22978')
('40.071306', '-105.22978')
('40.071305', '-105.22978')
('40.071304', '-105.22978')
('40.071303', '-105.22978')
('40.071302', '-105.22978')
('40.071301', '-105.22978')
('40.071300', '-105.22978')
('40.071299', '-105.22978')
('40.071298', '-105.22978')
('40.071297', '-105.22978')
('40.071296', '-105.22978')
('40.071295', '-105.22978')
('40.071294', '-105.22978')
('40.071293', '-105.22978')
('40.071292', '-105.22978')
('40.071291', '-105.22978')
('40.071290', '-105.22978')
('40.071289', '-105.22978')
('40.071288', '-105.22978')
('40.071287', '-105.22978')
('40.071286', '-105.22978')
('40.071285', '-105.22978')
('40.071284', '-105.22978')
('40.071283', '-105.22978')
('40.071282', '-105.22978')
('40.071281', '-105.22978')
('40.071280', '-105.22978')
('40.071279', '-105.22978')
('40.071278', '-105.22978')
('40.071277', '-105.22978')
('40.071276', '-105.22978')
('40.071275', '-105.22978')
('40.071274', '-105.22978')
('40.071273', '-105.22978')
('40.071272', '-105.22978')
('40.071271', '-105.22978')
('40.071270', '-105.22978')
('40.071269', '-105.22978')
('40.071268', '-105.22978')
('40.071267', '-105.22978')
('40.071266', '-105.22978')
('40.071258', '-105.22978')
('40.071258', '-105.22978')
('40.071258', '-105.22978')
('40.071258', '-105.22978')
('40.071258', '-105.22978')
('40.071258', '-105.22978')
('40.071258', '-105.22978')
('40.071258', '-105.22978')
('40.071258', '-105.22978')
('40.071258', '-105.22979')
('40.071258', '-105.22979')
('40.071258', '-105.22979')
('40.071258', '-105.22979')
('40.071258', '-105.22979')
('40.071258', '-105.22979')
('40.071258', '-105.22979')
('40.071258', '-105.22979')
('40.071258', '-105.22979')
('40.071258', '-105.22979')
('40.071258', '-105.22980')
('40.071258', '-105.22980')
('40.071258', '-105.22980')
('40.071258', '-105.22980')
('40.071258', '-105.22980')
('40.071258', '-105.22980')
('40.071258', '-105.22980')
('40.071258', '-105.22980')
('40.071258', '-105.22980')
('40.071258', '-105.22980')
('40.071258', '-105.22981')
('40.071258', '-105.22981')
('40.071258', '-105.22981')
('40.071258', '-105.22981')
('40.071258', '-105.22981')
('40.071258', '-105.22981')
('40.071258', '-105.22981')
('40.071258', '-105.22981')
('40.071258', '-105.22981')
('40.071258', '-105.22981')
('40.071258', '-105.22982')
('40.071258', '-105.22982')
('40.071258', '-105.22982')
('40.071258', '-105.22982')
('40.071258', '-105.22982')
('40.071258', '-105.22982')
('40.071258', '-105.22982')
('40.071258', '-105.22982')
('40.071258', '-105.22982')
('40.071258', '-105.22982')
('40.071258', '-105.22983')
('40.071258', '-105.22983')
('40.071258', '-105.22983')
('40.071258', '-105.22983')
('40.071258', '-105.22983')
('40.071258', '-105.22983')
('40.071258', '-105.22983')
('40.071258', '-105.22983')
('40.071258', '-105.22983')
('40.071258', '-105.22983')
('40.071258', '-105.22984')
('40.071258', '-105.22984')
('40.071258', '-105.22984')
('40.071258', '-105.22984')
('40.071258', '-105.22984')
('40.071258', '-105.22984')
('40.071258', '-105.22984')
('40.071258', '-105.22984')
('40.071258', '-105.22984')
('40.071258', '-105.22984')
('40.071258', '-105.22985')
('40.071258', '-105.22985')
('40.071258', '-105.22985')
('40.071258', '-105.22985')
('40.071258', '-105.22985')
('40.071258', '-105.22985')
('40.071258', '-105.22985')
('40.071258', '-105.22985')
('40.071258', '-105.22985')
('40.071258', '-105.22985')
('40.071258', '-105.22986')
('40.071258', '-105.22986')
('40.071258', '-105.22986')
('40.071258', '-105.22986')
('40.071258', '-105.22986')
('40.071258', '-105.22986')
('40.071258', '-105.22986')
('40.071258', '-105.22986')
('40.071258', '-105.22986')
('40.071258', '-105.22986')
('40.071258', '-105.22987')
('40.071258', '-105.22987')
('40.071258', '-105.22987')
('40.071258', '-105.22987')
('40.071258', '-105.22987')
('40.071258', '-105.22987')
('40.071258', '-105.22987')
('40.071258', '-105.22987')
('40.071258', '-105.22987')
('40.071258', '-105.22987')
('40.071258', '-105.22988')
('40.071258', '-105.22988')
('40.071258', '-105.22988')
('40.071258', '-105.22988')
('40.071258', '-105.22988')
('40.071258', '-105.22988')
('40.071258', '-105.22988')
('40.071258', '-105.22988')
('40.071258', '-105.22988')
('40.071258', '-105.22988')
('40.071258', '-105.22989')
('40.071258', '-105.22989')
('40.071258', '-105.22989')
('40.071258', '-105.22989')
('40.071258', '-105.22989')
('40.071258', '-105.22989')
('40.071258', '-105.22989')
('40.071258', '-105.22989')
('40.071258', '-105.22989')
('40.071258', '-105.22989')
('40.071258', '-105.22990')
('40.071258', '-105.22990')
('40.071258', '-105.22990')
('40.071258', '-105.22990')
('40.071258', '-105.22990')
('40.071258', '-105.22990')
('40.071258', '-105.22990')
('40.071258', '-105.22990')
('40.071258', '-105.22990')
('40.071258', '-105.22990')
('40.071258', '-105.22991')
('40.071258', '-105.22991')
('40.071258', '-105.22991')
('40.071258', '-105.22991')
('40.071258', '-105.22991')
('40.071258', '-105.22991')
('40.071258', '-105.22991')
('40.071258', '-105.22991')
('40.071258', '-105.22991')
('40.071258', '-105.22991')
('40.071258', '-105.22992')
('40.071258', '-105.22992')
('40.071258', '-105.22992')
('40.071258', '-105.22992')
('40.071258', '-105.22992')
('40.071258', '-105.22992')
('40.071258', '-105.22992')
('40.071258', '-105.22992')
('40.071258', '-105.22992')
('40.071258', '-105.22992')
('40.071258', '-105.22993')
('40.071258', '-105.22993')
('40.071258', '-105.22993')
('40.071258', '-105.22993')
('40.071258', '-105.22993')
('40.071258', '-105.22993')
('40.071258', '-105.22993')
('40.071258', '-105.22993')
('40.071258', '-105.22993')
('40.071258', '-105.22993')
('40.071258', '-105.22994')
('40.071258', '-105.22994')
('40.071258', '-105.22994')
('40.071258', '-105.22994')
('40.071258', '-105.22994')
('40.071258', '-105.22994')
('40.071258', '-105.22994')
('40.071258', '-105.22994')
('40.071258', '-105.22994')
('40.071258', '-105.22994')
('40.071258', '-105.22995')
('40.071258', '-105.22995')
('40.071258', '-105.22995')
('40.071258', '-105.22995')
('40.071258', '-105.22995')
('40.071258', '-105.22995')
('40.071258', '-105.22995')
('40.071258', '-105.22995')
('40.071258', '-105.22995')
('40.071258', '-105.22995')
('40.071258', '-105.22996')
('40.071258', '-105.22996')
('40.071258', '-105.22996')
('40.071258', '-105.22996')
('40.071258', '-105.22996')
('40.071258', '-105.22996')
('40.071258', '-105.22996')
('40.071258', '-105.22996')
('40.071258', '-105.22996')
('40.071258', '-105.22996')
('40.071258', '-105.22997')
('40.071258', '-105.22997')
('40.071258', '-105.22997')
('40.071258', '-105.22997')
('40.071258', '-105.22997')
('40.071258', '-105.22997')
('40.071258', '-105.22997')
('40.071258', '-105.22997')
('40.071258', '-105.22997')
('40.071258', '-105.22997')
('40.071258', '-105.22998')
('40.071258', '-105.22998')
('40.071258', '-105.22998')
('40.071258', '-105.22998')
('40.071258', '-105.22998')
('40.071258', '-105.22998')
